employee_id,name,current_job,skills
E00001,Donald Turner,J00001,"S00038:2,S00048:2,S00020:3,S00043:2,S00004:2,S00071:4,S00008:1,S00036:4"
E00002,Thomas Allen,J00001,"S00038:2,S00048:1,S00009:2,S00043:3,S00004:1,S00035:2,S00041:5"
E00003,Elizabeth Johnson,J00001,"S00048:1,S00009:2,S00043:2"
E00004,Barbara Roberts,J00002,"S00098:1,S00035:2,S00023:3,S00078:2,S00031:5"
E00005,Daniel Evans,J00002,"S00098:1,S00035:2,S00078:2,S00070:3,S00023:4,S00005:1"
E00006,Michael Harris,J00002,"S00098:1,S00035:1,S00023:2,S00092:2,S00042:1"
E00007,John Taylor,J00002,"S00098:2,S00035:2,S00078:3"
E00008,Matthew Robinson,J00003,"S00087:2,S00056:3,S00023:4,S00089:3,S00070:2,S00086:5"
E00009,Stephanie Thomas,J00003,"S00087:2,S00056:1,S00070:1,S00078:3"
E00010,Rachel Carter,J00003,"S00087:1,S00023:2,S00089:3,S00070:1,S00058:1,S00034:2"
E00011,Barbara Phillips,J00003,"S00087:2,S00056:1,S00023:4,S00089:3,S00049:3,S00070:4,S00013:4"
E00012,Michelle Baker,J00004,"S00042:3,S00056:2,S00061:2,S00091:4,S00023:1,S00006:3,S00021:1,S00071:1,S00044:5"
E00013,Ashley Wright,J00004,"S00042:4,S00061:4,S00091:3,S00023:2,S00006:3,S00039:2,S00013:1"
E00014,Steven Baker,J00004,"S00042:4,S00056:3,S00061:2,S00091:5,S00023:1,S00006:3"
E00015,Emily Wilson,J00004,"S00042:4,S00056:3,S00061:4,S00091:5,S00023:3,S00006:4,S00034:2,S00035:5,S00008:2"
E00016,Gary Phillips,J00005,"S00062:3,S00080:5,S00013:4,S00074:4,S00018:3,S00033:2,S00043:3,S00028:4"
E00017,Gary Hernandez,J00005,"S00062:4,S00013:5,S00001:5,S00090:4,S00018:2,S00033:4,S00043:4,S00028:3,S00015:4,S00020:2,S00073:5"
E00018,Samantha Edwards,J00005,"S00080:3,S00020:3,S00013:5,S00090:5,S00074:4,S00018:3,S00033:4,S00043:4,S00028:3,S00035:3,S00003:3,S00039:3"
E00019,Jessica Lopez,J00006,"S00004:2,S00006:3,S00049:1,S00094:4,S00078:1"
E00020,Jennifer Hernandez,J00006,"S00042:3,S00004:2,S00049:1"
E00021,Karen Campbell,J00006,"S00042:2,S00004:1,S00006:2,S00005:4"
E00022,Michael Lee,J00006,"S00042:2,S00004:3,S00006:1,S00049:1,S00063:5,S00058:2"
E00023,Helen Wright,J00006,"S00042:2,S00004:2,S00006:1,S00049:2"
E00024,Mary Baker,J00007,"S00097:2,S00023:2,S00040:3,S00080:1,S00017:2,S00077:1,S00029:3"
E00025,Ava Robinson,J00007,"S00097:2,S00004:3,S00040:2,S00080:3"
E00026,James Hill,J00007,"S00040:2,S00080:1,S00009:3,S00036:3"
E00027,Susan Perez,J00008,"S00008:2,S00094:2,S00033:1,S00093:1"
E00028,George Lopez,J00008,"S00094:3,S00020:1,S00004:2,S00056:2,S00033:2,S00065:3,S00022:5"
E00029,Patricia Martinez,J00008,"S00008:2,S00094:2,S00056:2,S00033:1,S00043:3,S00034:5,S00038:4"
E00030,Nicole Wilson,J00008,"S00008:1,S00094:2,S00020:3,S00004:3,S00056:2,S00033:1,S00053:5,S00059:2"
E00031,Daniel Campbell,J00009,"S00097:1,S00004:2,S00002:1,S00076:2,S00016:3,S00063:1"
E00032,Thomas Carter,J00009,"S00097:3,S00004:3,S00002:1,S00076:2,S00068:2"
E00033,John Turner,J00010,"S00024:2,S00086:2,S00049:1,S00081:1,S00009:1"
E00034,Karen Martinez,J00011,"S00090:2,S00043:2,S00087:4,S00048:3,S00052:1"
E00035,Elizabeth Harris,J00011,"S00090:2,S00043:1,S00087:3,S00048:2,S00082:3,S00099:5,S00080:1"
E00036,Ava Jones,J00011,"S00090:1,S00043:1,S00087:4,S00048:3,S00020:2,S00089:1"
E00037,Karen Allen,J00011,"S00090:2,S00043:2,S00087:2,S00048:2,S00015:1,S00064:2"
E00038,Ava Jackson,J00011,"S00090:2,S00043:3,S00087:2,S00048:3,S00031:1,S00002:1"
E00039,Rachel Wilson,J00011,"S00043:2,S00048:2"
E00040,Brittany Thompson,J00012,"S00072:3,S00023:3,S00066:3"
E00041,Nicole Martinez,J00012,"S00072:2,S00055:1,S00023:1,S00066:3,S00043:3"
E00042,Brittany Hernandez,J00012,"S00055:1,S00023:2,S00066:4,S00059:3,S00050:4,S00054:2"
E00043,Joseph Moore,J00013,"S00087:1,S00032:3,S00024:5,S00049:3,S00079:1"
E00044,Helen Turner,J00013,"S00056:2,S00016:3,S00032:3,S00006:1,S00034:3,S00002:5"
E00045,Timothy Evans,J00013,"S00087:2,S00016:2,S00032:1,S00085:2,S00062:3"
E00046,Edward Perez,J00013,"S00087:1,S00056:2,S00016:3,S00010:4"
E00047,Daniel Martin,J00014,"S00042:3,S00043:3,S00083:4,S00077:2,S00040:3,S00012:4,S00058:3,S00016:4"
E00048,Jeff Perez,J00014,"S00042:4,S00043:2,S00077:2,S00057:4,S00047:1,S00029:4"
E00049,Matthew Adams,J00014,"S00042:4,S00043:3,S00083:2,S00077:2,S00040:2,S00071:5,S00048:1"
E00050,Robert Anderson,J00015,"S00099:4,S00097:3,S00070:4,S00094:2,S00039:2,S00006:5,S00016:4,S00059:5"
E00051,Madison Moore,J00015,"S00097:2,S00070:4,S00039:3,S00094:2"
E00052,Richard Walker,J00015,"S00099:3,S00097:4,S00070:3,S00094:2,S00018:2,S00053:5,S00090:5"
E00053,Karen Phillips,J00016,"S00030:2,S00094:2,S00020:2,S00062:2,S00056:2,S00039:2"
E00054,Gary Lewis,J00016,"S00030:3,S00094:2,S00062:1,S00084:2,S00056:1,S00039:2,S00097:2,S00037:3"
E00055,Charles Jones,J00016,"S00030:2,S00094:1,S00020:3,S00062:2,S00084:4,S00056:2,S00039:1,S00050:4,S00088:3,S00071:1"
E00056,James Evans,J00017,"S00055:3,S00028:3,S00091:2,S00038:4"
E00057,Patricia Turner,J00017,"S00055:2,S00004:1,S00025:3,S00028:3,S00091:2"
E00058,Matthew King,J00018,"S00071:3,S00042:3,S00023:3,S00039:2,S00015:2,S00024:5"
E00059,William Hill,J00018,"S00071:4,S00042:3,S00039:2,S00015:2,S00072:1,S00086:3"
E00060,Joshua Martin,J00018,"S00042:3,S00039:2,S00015:1,S00033:5,S00093:3,S00004:5"
E00061,Stephanie Collins,J00019,"S00052:3,S00059:2,S00011:2,S00034:1"
E00062,Linda Roberts,J00019,"S00052:2,S00020:1,S00011:4,S00041:1,S00034:1"
E00063,Kenneth Campbell,J00019,"S00052:1,S00059:2,S00020:1,S00011:3,S00034:2,S00056:3,S00003:4,S00087:1"
E00064,Olivia Smith,J00020,"S00072:1,S00087:1,S00011:1,S00078:1,S00088:3"
E00065,David Martinez,J00020,"S00072:3,S00087:1,S00011:2,S00078:3,S00082:2,S00039:3"
E00066,James Adams,J00020,"S00087:1,S00011:3,S00078:1,S00027:3,S00028:4"
E00067,Brittany Perez,J00020,"S00087:2,S00011:2,S00078:2"
E00068,Nicole Edwards,J00020,"S00011:1,S00078:1,S00013:2,S00093:5"
E00069,Emma Rodriguez,J00021,"S00035:2,S00039:1,S00040:3,S00079:3,S00089:5"
E00070,Charles Baker,J00021,"S00035:2,S00041:1,S00040:2,S00036:3,S00018:3,S00062:4"
E00071,Joshua Lewis,J00021,"S00035:3,S00039:2,S00041:1,S00069:2"
E00072,Susan Parker,J00022,S00039:1
E00073,Stephanie Gonzalez,J00022,"S00091:2,S00050:3,S00031:3,S00051:2,S00099:5"
E00074,Jason Martinez,J00022,"S00091:1,S00039:1,S00050:2,S00031:3,S00021:2,S00073:5,S00085:2"
E00075,Jeff Parker,J00022,"S00091:2,S00039:3,S00050:2,S00031:2,S00067:3"
E00076,Donald Wright,J00023,"S00005:3,S00040:2,S00075:5,S00073:2"
E00077,Donald Perez,J00023,"S00042:1,S00004:3,S00040:3,S00045:4,S00062:5"
E00078,James Hill,J00023,"S00004:2,S00005:3,S00040:2,S00047:5"
E00079,Kevin Wilson,J00024,"S00035:3,S00040:3,S00049:4,S00030:1,S00003:2,S00006:2,S00074:5"
E00080,Mary Moore,J00024,"S00035:1,S00040:2,S00049:3,S00030:2"
E00081,Anna Parker,J00024,"S00035:2,S00040:3,S00030:2,S00075:2"
